Partita,CONSIGLIO,PROB%,1 %,X %,2 %,1X %,X2 %,12 %,Over 2.5%,Under 2.5%,BTTS %,Multigol 1-3%,Multigol 2-4%,Combo 1+Over%,Combo 1X+Over%,Consensus,Qualita
AFC Ajax vs PAE Olympiakos SFP,12 (Doppia Chance),72,41,27,31,68,58,72,54,45,57,61,61,39,57,66,Low
AS Monaco FC vs Juventus FC,12 (Doppia Chance),71,40,27,31,67,58,71,54,45,58,60,61,38,57,66,Low
Arsenal FC vs FK Kairat,12 (Doppia Chance),71,37,27,34,64,61,71,54,45,59,60,61,30,49,66,Low
Athletic Club vs Sporting Clube de Portugal,12 (Doppia Chance),71,39,27,32,66,59,71,54,45,58,60,61,36,55,66,Low
Bayer 04 Leverkusen vs Villarreal CF,12 (Doppia Chance),71,35,27,36,62,63,71,54,45,59,60,61,25,45,0,Low
Borussia Dortmund vs FC Internazionale Milano,12 (Doppia Chance),71,41,27,30,68,57,71,54,45,57,60,61,41,59,66,Low
Club Atlético de Madrid vs FK Bodø/Glimt,12 (Doppia Chance),71,41,27,30,68,57,71,54,45,57,61,61,40,58,66,Low
Club Brugge KV vs Olympique de Marseille,12 (Doppia Chance),71,40,27,31,67,58,71,54,45,58,60,61,38,57,66,Low
Eintracht Frankfurt vs Tottenham Hotspur FC,12 (Doppia Chance),71,40,27,31,67,58,71,54,45,57,61,61,37,56,66,Low
FC Barcelona vs FC København,12 (Doppia Chance),72,40,27,32,67,59,72,54,45,58,60,61,36,55,66,Low
Liverpool FC vs Qarabağ Ağdam FK,12 (Doppia Chance),72,39,27,33,66,60,72,54,45,58,61,61,34,53,66,Low
Manchester City FC vs Galatasaray SK,12 (Doppia Chance),71,40,27,31,67,58,71,54,45,58,60,61,38,57,66,Low
PSV vs FC Bayern München,12 (Doppia Chance),71,38,27,33,65,60,71,54,45,58,61,61,32,52,66,Low
Paphos FC vs SK Slavia Praha,12 (Doppia Chance),72,43,26,29,69,55,72,54,45,55,61,61,44,62,100,Low
Paris Saint-Germain FC vs Newcastle United FC,12 (Doppia Chance),71,40,27,31,67,58,71,54,45,58,60,61,38,56,66,Low
Royale Union Saint-Gilloise vs Atalanta BC,12 (Doppia Chance),71,41,27,30,68,57,71,55,44,58,60,61,40,59,66,Low
SSC Napoli vs Chelsea FC,12 (Doppia Chance),71,38,27,33,65,60,71,53,46,58,61,61,32,51,66,Low
Sport Lisboa e Benfica vs Real Madrid CF,12 (Doppia Chance),71,41,27,30,68,57,71,54,45,57,61,61,40,58,66,Low
